incident_id,fecha,anio,mes,dia,hora,minuto,dia_semana,tipo,prioridad,prioridad_base_tipo,latitud,longitud,dist_hermelinda_km,dist_sanchez_carrion_km,dist_parque_industrial_km,dist_cesar_vallejo_km
6563,2019-07-14 16:24:00,2019,7,14,16,24,6,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.035982476741712,-78.9996922898134,0.9630250953263693,0.9218931598034639,2.798232386289756,2.563244147623653
19203,2022-09-23 06:20:00,2022,9,23,6,20,4,Otros,BAJA,BAJA,-8.05774965537805,-79.01329393434466,1.9031544856632103,3.7201684895662863,0.14515268376942708,5.345103346529051
3220,2018-11-24 09:38:00,2018,11,24,9,38,5,Hurto,MEDIA,MEDIA,-8.050294575954023,-78.99804685440274,0.8872948336911934,2.2162492349155425,1.7589967722025277,3.705714812410552
21454,2023-04-24 13:58:00,2023,4,24,13,58,0,Extorsión,ALTA,ALTA,-8.030662378974583,-78.99189425388107,1.9221566365843963,0.12740428108887272,3.7604116781123516,1.5300901710220536
14442,2021-06-08 13:37:00,2021,6,8,13,37,1,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.030622020642546,-78.98814336628695,2.2110043421876915,0.5363861462004474,4.02081119867867,1.2658092025253362
12241,2020-11-17 06:40:00,2020,11,17,6,40,1,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.028235860653343,-78.99380638460029,2.024171639684519,0.3199253063881599,3.868611081794069,1.5288068445875407
3068,2018-10-24 21:33:00,2018,10,24,21,33,2,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.03445489567339,-79.00160633181247,1.0724019396777533,1.0225031866294636,2.8572634270170862,2.6265207621446933
19696,2022-10-24 15:55:00,2022,10,24,15,55,0,Robo,ALTA,ALTA,-8.040013534626185,-79.01043008259126,0.9304401362615795,2.1650628183947114,2.0074588222899394,3.777371604116396
26265,2024-04-28 18:24:00,2024,4,28,18,24,6,Otros,MEDIA,BAJA,-8.03178838461202,-78.99555814225177,1.5859296613982903,0.29498943819448764,3.4310234988327997,1.9151000711704265
7982,2019-11-16 00:34:00,2019,11,16,0,34,5,Otros,MEDIA,BAJA,-8.038432422901684,-78.99940317117978,0.7349129905548158,1.0863038805640068,2.580248872808286,2.725636966327422
21863,2023-05-17 12:22:00,2023,5,17,12,22,2,Extorsión,ALTA,ALTA,-8.034368386674856,-79.00896283532168,1.256197506172757,1.7970369629627623,2.6489068040868347,3.3201136651728684
2266,2018-08-23 13:02:00,2018,8,23,13,2,3,Otros,MEDIA,BAJA,-8.035337804182314,-79.01131664366213,1.328987644710559,2.073610972202586,2.5210441414359854,3.6001655255288716
10925,2020-07-09 17:59:00,2020,7,9,17,59,3,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.037239983960525,-79.0049276077821,0.7810665297294134,1.485300437481469,2.4362011239325394,3.103825914280265
8282,2019-12-31 16:55:00,2019,12,31,16,55,1,Hurto,MEDIA,MEDIA,-8.038793226378834,-79.00774308159626,0.7796903784508692,1.8400869458310996,2.186518332263867,3.4566666691607595
31962,2025-09-04 21:44:00,2025,9,4,21,44,3,Otros,BAJA,BAJA,-8.017505349028658,-78.98254377253927,3.7084076142677493,1.8913202580249602,5.549197367595726,0.39317304863841934
30539,2025-05-18 20:21:00,2025,5,18,20,21,6,Extorsión,MEDIA,ALTA,-8.034936350096814,-79.00088650560572,1.0343473687199176,0.9724136885358274,2.841507396855815,2.5934053851055676
7095,2019-09-20 02:33:00,2019,9,20,2,33,4,Hurto,ALTA,MEDIA,-8.014315196351525,-78.98022089898296,4.145575445301505,2.3284843749325286,5.986518506351418,0.768695794336593
26740,2024-05-18 00:38:00,2024,5,18,0,38,5,Otros,BAJA,BAJA,-8.04870924820347,-79.00630723642897,0.6378027900504749,2.454452740742512,1.2083444458206467,4.081173112464446
29718,2025-02-22 22:22:00,2025,2,22,22,22,5,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.020503191245414,-78.98342891244997,3.3867007038487373,1.5725456027567228,5.223028219542345,0.1667500519397297
1960,2018-07-02 19:12:00,2018,7,2,19,12,0,Otros,BAJA,BAJA,-8.053660562506845,-79.00891280484775,1.2560712090618404,3.0689842939435295,0.5902169737541315,4.687168812108504
30632,2025-05-30 21:07:00,2025,5,30,21,7,4,Otros,BAJA,BAJA,-8.0166522440841,-78.97786393495151,4.111794298584603,2.3071132824569833,5.938400190545687,0.6641708963513636
22340,2023-06-13 08:38:00,2023,6,13,8,38,1,Otros,BAJA,BAJA,-8.04585963805465,-79.00178096137805,0.24652201479157848,1.9143826132809734,1.7573311451384985,3.5191851983717735
7256,2019-09-06 11:50:00,2019,9,6,11,50,4,Robo,ALTA,ALTA,-8.03571844507903,-79.0026395229822,0.921721795491068,1.1839487075695032,2.6833925778807424,2.800508302522083
18079,2022-06-10 04:18:00,2022,6,10,4,18,4,Hurto,ALTA,MEDIA,-8.05966652440222,-79.02007926484018,2.563322353543993,4.364585277174395,0.908599123593776,6.005311101900436
20659,2023-01-04 05:49:00,2023,1,4,5,49,2,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.04392670450742,-78.9925970310254,1.1454050196519094,1.4380685525429242,2.6480932419629104,2.803652071627154
15146,2021-09-30 08:58:00,2021,9,30,8,58,3,Hurto,MEDIA,MEDIA,-8.031268827582988,-78.99128503151233,1.9151372467288885,0.19117693275099149,3.746562202521102,1.5326353112003768
29248,2025-01-08 13:01:00,2025,1,8,13,1,2,Otros,BAJA,BAJA,-8.042330314455828,-78.99836655025523,0.5428818616442002,1.39155005026745,2.2997864708070583,2.978731522343354
24359,2023-11-30 01:51:00,2023,11,30,1,51,3,Robo,ALTA,ALTA,-8.02827152180247,-78.98518636221789,2.6278471432622084,0.9122475762283998,4.43203242992017,0.8813913065441218
28976,2024-12-17 21:49:00,2024,12,17,21,49,1,Robo,ALTA,ALTA,-8.034403218682487,-78.99144125379699,1.660828509222363,0.41552017763153987,3.465268736982401,1.8170936262129829
27577,2024-07-14 16:40:00,2024,7,14,16,40,6,Otros,MEDIA,BAJA,-8.021065722893743,-78.97974950368467,3.613426545035617,1.829968317994409,5.429104410562115,0.2479033580566483
1332,2018-05-21 20:23:00,2018,5,21,20,23,0,Otros,BAJA,BAJA,-8.051339075304703,-79.0143957463705,1.496717818453282,3.2656082974391634,0.7862262368887816,4.909521346450475
22236,2023-06-03 22:09:00,2023,6,3,22,9,5,Hurto,MEDIA,MEDIA,-8.04829759256019,-79.00178592409688,0.4962135640150271,2.152962527475949,1.5583823686934395,3.736204572170197
16431,2022-01-25 21:34:00,2022,1,25,21,34,1,Otros,BAJA,BAJA,-8.027028443449913,-78.98546593519953,2.699701069144791,0.9397650427990915,4.516092031783712,0.77134960822371
2287,2018-08-29 10:03:00,2018,8,29,10,3,2,Otros,BAJA,BAJA,-8.04546297550313,-79.00635555291922,0.4036775808674687,2.1791388103742864,1.5262965556093882,3.8197447254071624
31738,2025-08-21 07:20:00,2025,8,21,7,20,3,Otros,BAJA,BAJA,-8.013936645160438,-78.98579305436787,3.842437414547638,2.0566146820303994,5.686140739883819,0.8895480407418448
27018,2024-06-19 20:13:00,2024,6,19,20,13,2,Extorsión,ALTA,ALTA,-8.026461378148063,-78.99499377773968,2.140178573522497,0.5503496522118663,3.9754877644682485,1.5542463705031198
1292,2018-05-16 10:11:00,2018,5,16,10,11,2,Hurto,ALTA,MEDIA,-8.052173496879206,-78.99055329163114,1.6443694977802052,2.3697467696429406,2.4485064132643695,3.5919847311196693
25211,2024-02-23 21:34:00,2024,2,23,21,34,4,Extorsión,ALTA,ALTA,-8.03740605597032,-78.99416806964427,1.2178607671803592,0.7238378736280705,3.016347873069078,2.2633888289762183
24506,2023-12-06 07:12:00,2023,12,6,7,12,2,Extorsión,ALTA,ALTA,-8.055612406113543,-79.01030688560255,1.5213465027497033,3.334799887553258,0.3243945093828964,4.95239570306385
32283,2025-10-26 08:06:00,2025,10,26,8,6,6,Otros,BAJA,BAJA,-8.05150006529612,-79.00718207909651,0.9526360382135286,2.7630278785372435,0.8965219819248665,4.380568618788086
29955,2025-03-04 18:57:00,2025,3,4,18,57,1,Otros,BAJA,BAJA,-8.02954460989993,-78.9900691297986,2.147235344684222,0.36100741144884324,3.9801802460529494,1.3008007384255555
5437,2019-04-21 20:29:00,2019,4,21,20,29,6,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.062263931458032,-78.99639554086824,2.157107138958906,3.4964345924840243,1.7822198056039162,4.854378926464785
16898,2022-03-02 18:25:00,2022,3,2,18,25,2,Extorsión,ALTA,ALTA,-8.070204582327685,-79.00364625919693,2.914685189881374,4.514184087281412,1.6393750321020875,5.967835680205939
13554,2021-03-18 08:31:00,2021,3,18,8,31,3,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.044765310748108,-78.99128254441781,1.2929044467488604,1.5422690731775313,2.714500339937164,2.8333397076438014
5926,2019-06-01 13:03:00,2019,6,1,13,3,5,Hurto,MEDIA,MEDIA,-8.025791728390374,-78.98432435977031,2.885731048679778,1.117078389811048,4.702274766480675,0.591093400671707
27690,2024-07-10 14:30:00,2024,7,10,14,30,2,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.042330705813534,-79.00156407607602,0.24382018861941887,1.5736919800100295,2.0870889590045,3.2040351797213384
31286,2025-07-01 17:35:00,2025,7,1,17,35,1,Hurto,MEDIA,MEDIA,-8.031052368611041,-78.99250160698551,1.8463135764957843,0.05518335576936011,3.6861019148925114,1.608233604433262
25742,2024-03-05 09:00:00,2024,3,5,9,0,1,Hurto,MEDIA,MEDIA,-8.029156589062115,-78.98214420628663,2.8279153985017,1.2127218468881582,4.592577075509464,0.9071102964273675
28816,2024-12-06 20:39:00,2024,12,6,20,39,4,Extorsión,ALTA,ALTA,-8.020572202393943,-78.9797505288631,3.6522848663172467,1.863520188910025,5.470662564245045,0.25220946638378927
27008,2024-06-09 10:35:00,2024,6,9,10,35,6,Extorsión,ALTA,ALTA,-8.039144477746003,-79.00536991698141,0.5996561029003156,1.6355776752584068,2.220078454524375,3.2698066600787516
30783,2025-05-17 16:24:00,2025,5,17,16,24,5,Otros,BAJA,BAJA,-8.013219886796284,-78.99606499004187,3.506735333127331,2.0056545260022087,5.279383790852662,1.773920247789272
29721,2025-02-07 10:08:00,2025,2,7,10,8,4,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.040525933442236,-78.99813142563691,0.660728224116161,1.2004952476476225,2.47120367632767,2.805124459656679
3057,2018-10-05 06:33:00,2018,10,5,6,33,4,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.049958545995853,-79.0059777513873,0.7392373670715658,2.5467120089422695,1.1131747460890031,4.163942885133166
29564,2025-02-08 08:16:00,2025,2,8,8,16,5,Otros,MEDIA,BAJA,-8.054296840569902,-78.99594193179223,1.3837606104027809,2.6106625241708095,1.8152737581797602,4.008043975619037
26727,2024-05-03 12:52:00,2024,5,3,12,52,4,Otros,BAJA,BAJA,-8.055912494920582,-79.00630324455317,1.3736286238351487,3.133534861221524,0.6687724502163402,4.714953495950557
10291,2020-05-07 21:13:00,2020,5,7,21,13,3,Otros,MEDIA,BAJA,-8.060635387578243,-79.00908190313419,1.9672386623694218,3.740874378061587,0.43484445291724,5.32116592972866
6127,2019-06-23 09:51:00,2019,6,23,9,51,6,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.060627822092885,-79.0185834529127,2.5223447863533677,4.33446163490112,0.7814985930899304,5.969963485761625
10155,2020-05-21 12:49:00,2020,5,21,12,49,3,Otros,BAJA,BAJA,-8.041223749730431,-79.00521624772834,0.39349767630128896,1.7611156068748126,2.0093987668218847,3.4045873217210727
8289,2019-12-12 20:43:00,2019,12,12,20,43,3,Hurto,MEDIA,MEDIA,-8.039263832501229,-78.99604096710264,0.9297364533457342,0.9779954203087956,2.7253914958830423,2.5523271264009013
7114,2019-09-29 11:55:00,2019,9,29,11,55,6,Hurto,MEDIA,MEDIA,-8.05954472004734,-79.01523398141188,2.1913364485221494,4.008369451837744,0.3953171723284303,5.635493627064316
28316,2024-10-07 07:25:00,2024,10,7,7,25,0,Extorsión,ALTA,ALTA,-8.028103763804308,-78.9809378222458,3.0041520590742223,1.3665917894657693,4.76941334095055,0.7985134885801961
1093,2018-04-24 16:29:00,2018,4,24,16,29,1,Otros,BAJA,BAJA,-8.023825243278296,-78.97494588758062,3.817536071180391,2.1419723728203657,5.575354321403031,0.8378322654151121
1890,2018-07-09 08:58:00,2018,7,9,8,58,0,Hurto,ALTA,MEDIA,-8.048900016001737,-79.01541206172331,1.4711845702561392,3.170294253339138,1.0793549640626467,4.812268717623426
4411,2019-02-23 21:43:00,2019,2,23,21,43,5,Otros,BAJA,BAJA,-8.044939248847507,-79.0049397862036,0.23774063210980612,2.032385982001542,1.647231793150713,3.6695085327979493
10884,2020-07-29 08:23:00,2020,7,29,8,23,2,Otros,BAJA,BAJA,-8.035351001636878,-78.9848328620802,2.219430219605345,1.021122608809185,3.9101563286090304,1.625956636239742
26536,2024-05-16 04:55:00,2024,5,16,4,55,3,Extorsión,ALTA,ALTA,-8.035548903464734,-79.00364014403401,0.9423584788784346,1.276051753828229,2.660719409066604,2.8799960865859364
6836,2019-08-10 18:40:00,2019,8,10,18,40,5,Otros,MEDIA,BAJA,-8.017600073124212,-78.98431186598371,3.584869999919763,1.7706576933596905,5.428998281858119,0.45576638978583944
16809,2022-02-25 23:46:00,2022,2,25,23,46,4,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.039854007782491,-78.99793735744163,0.723348254419745,1.124634399594065,2.543322007217979,2.733939258129575
31850,2025-09-05 20:45:00,2025,9,5,20,45,4,Extorsión,ALTA,ALTA,-8.049470094208958,-79.00752758753256,0.7864186672153783,2.6031640757307577,1.068681866127096,4.233404537410712
6758,2019-08-31 21:19:00,2019,8,31,21,19,5,Otros,BAJA,BAJA,-8.006938676339225,-78.98422895317303,4.610268105138455,2.8444641056064395,6.448760258197629,1.5826928651696468
20113,2022-11-27 07:48:00,2022,11,27,7,48,6,Violencia contra la mujer e integrantes,MEDIA,ALTA,-8.038940443941046,-78.9997061708012,0.6693538038806385,1.1509867967002927,2.514682906288532,2.789309459430325
31466,2025-07-19 08:16:00,2025,7,19,8,16,5,Robo,ALTA,ALTA,-8.024587899281999,-78.97628144824489,3.648761787875729,1.9740582243665743,5.410084955091844,0.7454030318858236
2768,2018-09-14 17:51:00,2018,9,14,17,51,4,Violencia contra la mujer e integrantes,MEDIA,ALTA,-8.055921123398189,-79.01210133593419,1.6616968438695308,3.4787842111327376,0.2314296130114517,5.105115190695401
21874,2023-05-05 07:03:00,2023,5,5,7,3,4,Hurto,MEDIA,MEDIA,-8.05653756257926,-79.0052318831863,1.4156039418195705,3.1428188942419006,0.7626886974142849,4.707216165592134
25912,2024-03-19 19:20:00,2024,3,19,19,20,1,Otros,BAJA,BAJA,-8.018323600643775,-78.98557910151328,3.439576150505289,1.6292528557401935,5.284545357322021,0.493832553451914
31813,2025-08-02 08:14:00,2025,8,2,8,14,5,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.03857113078678,-79.00634180657627,0.7069563228447172,1.6931164429492325,2.248416811028151,3.3167164176776422
7071,2019-09-24 06:01:00,2019,9,24,6,1,1,Hurto,MEDIA,MEDIA,-8.035431967116619,-78.98687215754039,2.0151472618592305,0.8355131795646208,3.7351440344721496,1.692051348982284
19358,2022-09-21 19:41:00,2022,9,21,19,41,2,Robo,ALTA,ALTA,-8.03447674257221,-78.99753379922281,1.218015398082683,0.6313844454590023,3.0624352972916355,2.273971587242797
5872,2019-06-07 18:44:00,2019,6,7,18,44,4,Extorsión,ALTA,ALTA,-8.036328367931972,-79.00041477781743,0.8992814777502449,1.0087323882934647,2.7265367649295897,2.648792696242765
7979,2019-11-05 17:21:00,2019,11,5,17,21,1,Otros,BAJA,BAJA,-8.056252352741872,-79.00437265227667,1.370755977412437,3.0744666650077686,0.8619423930967415,4.62960414058165
14171,2021-05-31 21:49:00,2021,5,31,21,49,0,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.054399219186479,-79.00642481871444,1.2162670142355672,2.992406656468832,0.7328563295511473,4.585245271114211
5866,2019-06-17 14:46:00,2019,6,17,14,46,0,Extorsión,ALTA,ALTA,-8.034634641546408,-79.0014513469597,1.0552472175999652,1.014504503550043,2.8458818312819094,2.6240099462877073
8841,2020-01-21 09:37:00,2020,1,21,9,37,1,Otros,BAJA,BAJA,-8.030452488609253,-78.99928077785759,1.561080419215159,0.6942163812853436,3.368079395921752,2.173721997816524
1338,2018-05-20 01:45:00,2018,5,20,1,45,6,Otros,MEDIA,BAJA,-8.032986303188833,-78.99060221588303,1.8338767489070913,0.34421111131702964,3.645059316736004,1.6350822681906745
28079,2024-09-12 18:43:00,2024,9,12,18,43,3,Hurto,ALTA,MEDIA,-8.057504608035446,-79.01253517952928,1.8322237714736072,3.648556661647742,0.08066061999786314,5.270624663568849
17640,2022-04-14 19:29:00,2022,4,14,19,29,3,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.036807857707828,-79.0077134990694,0.9533584115412612,1.7439878097649502,2.4032536938182982,3.3324615320270388
567,2018-03-21 11:45:00,2018,3,21,11,45,2,Extorsión,ALTA,ALTA,-8.021338646581324,-78.98195675763775,3.4231213919791648,1.6225220003254779,5.24976205000667,0.037955602710568775
12525,2020-12-03 11:38:00,2020,12,3,11,38,3,Robo,ALTA,ALTA,-8.015952531535524,-78.98399172888128,3.755894521463274,1.945098659486241,5.6008682254721185,0.602577318593596
27148,2024-06-08 12:35:00,2024,6,8,12,35,5,Otros,BAJA,BAJA,-8.016435025942817,-78.98147606572027,3.874416012101885,2.0574129922973676,5.714536470125056,0.5108696411147555
17798,2022-05-21 12:44:00,2022,5,21,12,44,5,Otros,BAJA,BAJA,-8.058312494157963,-78.99884274227682,1.6559880094390051,3.104393091492023,1.4489915740117758,4.544529068801947
7617,2019-10-06 21:13:00,2019,10,6,21,13,6,Robo,ALTA,ALTA,-8.022423199896199,-78.97753032449151,3.690589526446987,1.9521165122680386,5.482060052185712,0.516960159389266
18567,2022-07-19 20:06:00,2022,7,19,20,6,1,Otros,BAJA,BAJA,-8.016898978704043,-78.9806281578433,3.8921353028142276,2.0770513680251144,5.72869279575711,0.48037885238271155
24132,2023-11-25 11:56:00,2023,11,25,11,56,5,Extorsión,ALTA,ALTA,-8.046623950329613,-79.0059709724236,0.438323825893292,2.2489532654488915,1.4285430382748447,3.883825687110375
22206,2023-06-19 23:57:00,2023,6,19,23,57,0,Extorsión,ALTA,ALTA,-8.057059822476006,-79.00669729636832,1.5081609133839395,3.2666648342912485,0.5930991397411361,4.84475425704532
7993,2019-11-29 19:43:00,2019,11,29,19,43,4,Otros,BAJA,BAJA,-8.053398766685689,-79.01984000317997,2.128339072972539,3.8647086104655295,1.0034067423144244,5.507859766927203
24641,2023-12-24 18:30:00,2023,12,24,18,30,6,Otros,MEDIA,BAJA,-8.060053212479913,-79.01137644231443,2.0091965322327825,3.8118421633771704,0.23840523343339493,5.414684840415557
29080,2025-01-13 18:25:00,2025,1,13,18,25,0,Extorsión,ALTA,ALTA,-8.063642659312787,-79.01661673942174,2.6491713402043926,4.4649478976471375,0.8074833462440857,6.083551529663745
33452,2026-03-08 12:51:00,2026,3,8,12,51,6,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.063731936227558,-79.01448380945871,2.5323128814803595,4.3407177026881865,0.6935488388866746,5.9471744438039025
345,2018-02-22 08:12:00,2018,2,22,8,12,3,Otros,BAJA,BAJA,-8.04151230228984,-78.99860543314142,0.557338587409656,1.3218420163228373,2.352871023955802,2.923205609196012
3456,2018-11-30 21:34:00,2018,11,30,21,34,4,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.059199640827929,-79.01454005037601,2.1144271200824476,3.9315006757483175,0.3098370704274906,5.556802792375627
15001,2021-08-05 07:00:00,2021,8,5,7,0,3,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.043593470044916,-79.00737039259498,0.4833029089641093,2.112898611802374,1.6810708199844506,3.756931535776911
29685,2025-02-13 08:51:00,2025,2,13,8,51,3,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.045419101156392,-79.0046679730019,0.24212665073208273,2.0545201090715874,1.6151343903096929,3.6880771596463195
14252,2021-06-11 18:07:00,2021,6,11,18,7,4,Extorsión,ALTA,ALTA,-8.044252758970073,-78.99728571891737,0.6297745720069471,1.5473440831530925,2.2273697428806525,3.085096352713573
29304,2025-01-30 09:41:00,2025,1,30,9,41,3,Robo,ALTA,ALTA,-8.046415482483987,-79.01473610151852,1.3197707318546819,2.943739272965728,1.3228944541214702,4.580189001082568
20348,2022-12-08 18:15:00,2022,12,8,18,15,3,Robo,ALTA,ALTA,-8.030250584997857,-78.992824250919,1.895435356340545,0.08554841906300964,3.738761196923475,1.5743171113690484
33148,2026-02-24 12:52:00,2026,2,24,12,52,1,Hurto,MEDIA,MEDIA,-8.0480082723906,-78.99496263800371,0.9908202188501609,1.903538719322356,2.1801288931632965,3.3250708174140295
27673,2024-07-21 12:28:00,2024,7,21,12,28,6,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.059392069429142,-79.0086877629261,1.822483737621727,3.598655040334185,0.3961593799289087,5.182511716296794
10367,2020-05-14 21:26:00,2020,5,14,21,26,3,Otros,BAJA,BAJA,-8.055254530800159,-79.02030742643495,2.279734019928274,4.038962175927879,0.9642295478692341,5.683070914876275
9842,2020-04-28 08:12:00,2020,4,28,8,12,1,Otros,BAJA,BAJA,-8.04131654410113,-79.00705683620517,0.5371611963082308,1.926479101647823,1.9333003417109298,3.56579068642071
17090,2022-03-25 08:37:00,2022,3,25,8,37,4,Otros,MEDIA,BAJA,-8.044657219347384,-79.0031731172311,0.0755241927642114,1.8870028638940526,1.7736034520845163,3.514904457512899
9065,2020-01-30 19:59:00,2020,1,30,19,59,3,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.059681519295323,-79.02019933967757,2.5741651764973486,4.374842006848431,0.9218817736052523,6.015740368087923
6235,2019-07-02 13:05:00,2019,7,2,13,5,1,Extorsión,MEDIA,ALTA,-8.021937702977855,-78.97590763796887,3.8621753259801546,2.134763427650814,5.645445752462009,0.678866665514207
22515,2023-06-06 15:55:00,2023,6,6,15,55,1,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.024647455077394,-78.97558674245158,3.7068587395502934,2.043273159860901,5.461438445176216,0.814328268186228
10582,2020-06-21 06:43:00,2020,6,21,6,43,6,Otros,MEDIA,BAJA,-8.042085410559778,-79.00482273486024,0.29257103140803503,1.7927277549632328,1.9380388513444695,3.43681126787965
1299,2018-05-14 06:25:00,2018,5,14,6,25,0,Otros,BAJA,BAJA,-8.027257942041127,-78.98147459506748,3.013742347523875,1.3354802723338728,4.793822956270197,0.6982519924588749
30082,2025-03-13 21:55:00,2025,3,13,21,55,3,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.044864806755548,-79.00746488316469,0.5009041056034549,2.216588734163695,1.5435566524306783,3.860444123975039
9173,2020-02-15 21:31:00,2020,2,15,21,31,5,Otros,MEDIA,BAJA,-8.046243531737447,-79.01004680933164,0.8149785865751342,2.528985039587498,1.3248288619943316,4.173137849245691
